status,why,verify,state,pollster,sponsor,partisan,population,n,start_date,end_date,dem_candidate,rep_candidate,dem_pct,rep_pct,margin,note,source_url,mentions,confidence
dup,기존 CSV에 있음,,AK,Fabrizio Ward/Impact Research,AARP,none,LV,800,2026-09-08,2026-09-11,Peltola,Sullivan,46,41,5,"±3.5·일일 브리핑 09/18 추출(언급 5회)·Bipartisan tandem poll (Fabrizio Ward=R house, Impact Research=D house), sponsored by nonpartisan AARP. RCV round simulation: Peltola 53 - Sullivan 47. Subgroup (not toplines): voters 50+ favor Sullivan 49-42. · 동명이인 후보 Dan J. Sullivan 4%; RCV 라운드 후 펠톨라 53–설리번 47; 50세 이상에서는 설리번 +7",https://www.aarp.org/press/releases/2026-09-17-new-aarp-alaska-poll-older-voters-will-be-influential-in-u-s-senate-gubernatorial-and-congressional-races.html,2026-09-18;2026-09-19;2026-09-20;2026-09-21;2026-09-22,high
dup,기존 CSV에 있음,,AK,Rasmussen Reports,,none,,,2026-09-13,2026-09-14,Peltola,Sullivan,39,39,0,일일 브리핑 09/18 추출(언급 4회)·House lean: Republican-aligned pollster. Sample size and MOE not stated in text (marked 【수집 필요】). · 동률; 표본·오차 미기재【수집 필요】,https://www.rasmussenreports.com/public_content/politics/elections/election_2026/election_2026_alaska_senate,2026-09-18;2026-09-19;2026-09-21;2026-09-22,high
dup,기존 CSV에 있음,,GA,Quantus Insights,,none,,624,2026-09-09,2026-09-12,Ossoff,Collins,38,38,0,일일 브리핑 09/19 추출·Briefing flagged this poll as uninterpretable due to ~24% unallocated/undecided response; superseded by same house's 9/14-16 poll. House lean: Republican-aligned pollster (Quantus).,https://www.wrdw.com/2026/09/18/poll-shows-ossoff-with-4-point-lead-over-collins-ga-senate-race/,2026-09-19,high
dup,기존 CSV에 있음,,GA,Trafalgar Group,,none,,1091,2026-09-10,2026-09-12,Ossoff,Collins,49.4,42.8,6.6,"±2.9·일일 브리핑 09/18 추출(언급 3회)·House lean: Republican-aligned pollster. Only margin reported, exact toplines not given in text. · 공화계 하우스로 서술됨; 자유당 버클리 1.3%, 미결정 6.5%",https://www.newsweek.com/jon-ossoff-vs-mike-collins-new-gop-poll-gives-race-update-50-days-out-12441633,2026-09-18;2026-09-20;2026-09-21,low
dup,기존 CSV에 있음,,GA,Quantus Insights,,none,LV,645,2026-09-14,2026-09-16,Ossoff,Collins,48.2,44.4,3.8,"±4.3·일일 브리핑 09/19 추출(언급 4회)·House lean: Republican-aligned pollster (Quantus). Undecided 6.5%, third-party <1%. Lean allocation: Ossoff 49.0-Collins 44.9, fully undecided 5.2%. Crosstabs (not toplines): women Ossoff+17, men Collins+10; 18-29 Ossoff+29, 65+ Collins+14; Atlanta metro Ossoff+17, rural GA Collins+28, suburbs Ossoff+4. · 공화계 하우스로 서술됨; 성향 유보층 배분 시 49.0–44.9; 미결정 6.5%; 인구통계 교차표(여성 오소프 54–37, 남성 콜린스 52–42 등) 다수 존재",https://www.wrdw.com/2026/09/18/poll-shows-ossoff-with-4-point-lead-over-collins-ga-senate-race/,2026-09-19;2026-09-20;2026-09-21;2026-09-22,high
dup,"기존 CSV에 있음(기관·수치 일치, 날짜 표기만 다름)",,IA,Global Strategy Group,Turek campaign (internal),D,,,,,Turek,Hinson,46,42,4,"일일 브리핑 09/21 추출·투렉 캠프 내부조사, 실사 기간 미기재; 자유당 Thomas Laehn 6%",https://www.semafor.com/article/09/09/2026/democratic-turek-holds-narrow-lead-in-iowa-senate-race-internal-polling-shows,2026-09-21,low
pending,"누락: start_date,end_date,dem_pct,rep_pct,source_url",,IA,Suffolk University,,none,,,,,Turek,Hinson,,,,"일일 브리핑 09/18 추출·Margin only; no toplines, dates, or sample given.",,2026-09-18,low
dup,기존 CSV에 있음,,IA,Emerson College/Nexstar,,none,LV,750,2026-08-31,2026-09-01,Turek,Hinson,45,50,-5,"±3.6·일일 브리핑 09/18 추출(언급 5회)·Libertarian Thomas Laehn 1%. Released 2026-09-03; NOT included in Emerson's later 9/12-14 MI/TX battery despite some outlets miscasting it as mid-September. · 자유당 토머스 래언 1%; 힌슨 8월 대비 +2, 투렉 45 정체",https://emersoncollegepolling.com/iowa-2026-poll-hinson-leads-turek/,2026-09-18;2026-09-19;2026-09-20;2026-09-21;2026-09-22,high
dup,기존 CSV에 있음,,IA,Rasmussen Reports,,none,LV,1000,2026-09-08,2026-09-10,Turek,Hinson,45,40,5,±2·일일 브리핑 09/18 추출(언급 5회)·Sample size stated as approximate. Same-month Emerson poll (Hinson +5) diverges by 10pts from this poll (Turek +5). · Emerson과 격차 불일치(9월 두 조사 간 10%p),https://www.rasmussenreports.com/public_content/politics/elections/election_2026/election_2026_iowa_senate,2026-09-18;2026-09-19;2026-09-20;2026-09-21;2026-09-22,high
dup,"기존 CSV에 있음(기관·수치 일치, 날짜 표기만 다름)",,ME,Fox News/Beacon·Shaw,,none,RV,1000,,,Jackson,Collins,48,46,2,일일 브리핑 09/18 추출(언급 2회)·Fieldwork dates not stated in text.,https://www.newsweek.com/susan-collins-fourth-polling-blow-since-jackson-launched-senate-run-maine-12423123,2026-09-18;2026-09-19,low
dup,기존 CSV에 있음,,ME,CNN/SSRS,,none,RV,880,2026-08-31,2026-09-06,Jackson,Collins,48,45,3,±3.7·일일 브리핑 09/18 추출(언급 4회),https://www.pressherald.com/2026/09/09/still-no-space-between-susan-collins-troy-jackson-in-maine-senate-race-cnn-poll-finds/,2026-09-18;2026-09-19;2026-09-20;2026-09-21,high
dup,기존 CSV에 있음,,ME,Rasmussen Reports,,none,LV,1000,2026-09-08,2026-09-10,Jackson,Collins,46,45,1,"±2·일일 브리핑 09/18 추출(언급 4회)·Sample size stated as approximate ('약 1,000명').",https://www.rasmussenreports.com/public_content/politics/elections/election_2026/election_2026_maine_senate,2026-09-18;2026-09-19;2026-09-20;2026-09-21,high
dup,기존 CSV에 있음,,ME,Quantus Insights,,none,LV,644,2026-09-14,2026-09-15,Jackson,Collins,46.4,47.1,-0.7,"±4.3·일일 브리핑 09/18 추출(언급 5회)·House lean: Republican-aligned pollster. First Collins lead in this series since mid-August Jackson allegations; briefing calls the 0.7pt gap statistically a tie. Exact MOE not stated in text. · 공화계 하우스로 서술됨; 성향 유보층 배분 시 콜린스 47.6–잭슨 47.4; 미결정 5%, 기타 1.5%",https://www.breitbart.com/politics/2026/09/16/poll-susan-collins-holds-narrow-lead-democrat-troy-jackson-maine/,2026-09-18;2026-09-19;2026-09-20;2026-09-21;2026-09-22,medium
pending,"누락: start_date,end_date,dem_pct,rep_pct",,MI,AARP/Fabrizio Ward·Impact Research,AARP,none,,,,,El-Sayed,Rogers,,,,일일 브리핑 09/21 추출·원문에 구체 수치가 제공되지 않음 — '양자 거의 동률'로만 서술됨【수집 필요】,https://www.aarp.org/government-elections/michigan-election-poll-2026/,2026-09-21,low
dup,기존 CSV에 있음,,MI,EPIC-MRA,,none,,600,2026-08-22,2026-08-28,El-Sayed,Rogers,47,43,4,±4·일일 브리핑 09/18 추출(언급 2회)·Fieldwork dates not stated. 10% refused/undecided.,https://ssl2002.webhosting.comcast.net/epic-mra/press/Stwd_Survey_Aug2026_Media_Freq.pdf,2026-09-18;2026-09-20,low
dup,기존 CSV에 있음,,MI,Emerson College/Nexstar,,none,LV,1000,2026-09-12,2026-09-14,El-Sayed,Rogers,48,46,2,"±3·일일 브리핑 09/18 추출(언급 5회)·Subgroups (not toplines): non-college Rogers 48-45; college grads El-Sayed 53-42. Net favorability El-Sayed +5, Rogers -4. · 실사 기간 미기재('9월' 또는 '9월 초'로만 표기)【수집 필요】; 4년제 학위 없는 유권자 로저스 48–45, 대졸자 엘사예드 53–42; 미결정 4%, 기타 2%; 9/15 CAIR 관련 공격 이전 조사",https://emersoncollegepolling.com/michigan-2026-poll-el-sayed-and-rogers-locked-in-close-election/,2026-09-18;2026-09-19;2026-09-20;2026-09-21;2026-09-22,high
dup,"기존 CSV에 있음(기관·수치 일치, 날짜 표기만 다름)",,NC,Elon University,,none,LV,,,,Cooper,Whatley,53,42,11,"일일 브리핑 09/19 추출·Fieldwork stated only as 'August' (exact dates not given), n/MOE not given. Subgroup (not toplines): among LV citing economy/cost-of-living as top issue (43%), Cooper led 58-25.",https://www.wral.com/news/nccapitol/elon-poll-cooper-leads-whatley-by-11-points-august-2026/,2026-09-19,low
pending,"누락: start_date,end_date,dem_pct,rep_pct",,NC,Fox News/Beacon·Shaw,,none,,,,,Cooper,Whatley,,,,"일일 브리핑 09/19 추출(언급 2회)·Margin only reported; no toplines, dates, or sample given. · 마진만 보도됨, 실사 기간·토플라인 미기재",https://thehill.com/homenews/campaign/5999436-fox-news-poll-north-carolina-senate/,2026-09-19;2026-09-20,low
dup,기존 CSV에 있음,,NC,High Point University,,none,,660,2026-08-03,2026-08-12,Cooper,Whatley,50,45,5,일일 브리핑 09/20 추출·원문에 별도 출처 URL이 첨부되지 않음,,2026-09-20,medium
dup,기존 CSV에 있음,,NC,Elon University,,none,LV,565,2026-08-21,2026-08-31,Cooper,Whatley,49,38,11,"±5.6·일일 브리핑 09/20 추출(언급 2회)·9/21 브리핑 표에는 동일 조사가 '쿠퍼 53–와틀리 42'(이월)로 다르게 표기됨 — 원문 내 수치 불일치, 확인 필요",https://www.wral.com/news/nccapitol/elon-poll-cooper-leads-whatley-by-11-points-august-2026/,2026-09-20;2026-09-21,high
dup,기존 CSV에 있음,,NC,East Carolina University,,none,LV,675,2026-08-31,2026-09-03,Cooper,Whatley,46,39,7,±4.4·일일 브리핑 09/18 추출(언급 4회)·Fieldwork dates and sample not stated in text. · AAPOR 투명성 이니셔티브 회원기관; 경제·생활비를 최우선 이슈로 꼽은 응답자(43%)에서 쿠퍼 58–25,https://wcti12.com/news/local/ecu-poll-shows-cooper-leading-whatley-in-north-carolina-senate-race,2026-09-18;2026-09-19;2026-09-20;2026-09-21,low
dup,기존 CSV에 있음,,NC,Harper Polling,Carolina Journal,none,LV,608,2026-09-13,2026-09-15,Cooper,Whatley,49.2,34.1,15.1,±4·일일 브리핑 09/20 추출(언급 3회)·공화당계 하우스(NRCC 여론조사국장 출신 창립); Newsweek은 오차 ±3.97로 표기; Carolina Journal 시리즈 사상 최대 쿠퍼 격차(3월+8→5월+11→8월+13→9월+15),https://www.carolinajournal.com/cj-poll-cooper-leads-whatley-by-15-as-republican-voters-drift-to-undecided/,2026-09-20;2026-09-21;2026-09-22,high
dup,"기존 CSV에 있음(기관·수치 일치, 날짜 표기만 다름)",,NH,"Fabrizio, Lee & Associates",,R,,,,,Pappas,Sununu,36,37,-1,일일 브리핑 09/20 추출(언급 3회)·공화당 내부조사; 실사 기간은 '9월 초'로만 기재; Cook의 9/15 Toss Up 이동 근거로 추정됨,https://www.breitbart.com/politics/2026/09/03/john-sununu-leads-chris-pappas-new-hampshire-senate-gop-poll/,2026-09-20;2026-09-21;2026-09-22,low
pending,"누락: start_date,end_date",,NH,InsiderAdvantage,,none,LV,,,,Pappas,Sununu,48,40,8,±2.83·일일 브리핑 09/20 추출(언급 3회)·실사기간 미기재【수집 필요】; 동일 기관의 9/8–9 조사(오하이오·텍사스)와 동일 실사일일 가능성이 제기되나 확정되지 않음 — 브리핑은 '경선 이후'라는 성격 규정을 확정 사실로 다루지 말라고 명시,https://politicalwire.com/2026/09/18/chris-pappas-leads-in-new-hampshire-senate-race/,2026-09-20;2026-09-21;2026-09-22,low
dup,기존 CSV에 있음,,NH,Emerson College/Nexstar,,none,,1100,2026-03-21,2026-03-23,Pappas,Sununu,45,44,1,"±2.9·일일 브리핑 09/22 추출·지명 전 가상 대진(09/08 확정 전) · 경선 이전(3월) 가상 대결 조사 — 6개월 전 데이터. 브리핑은 이를 현재값으로 인용해서는 안 된다고 명시적으로 경고하며, '뉴햄프셔가 공화당 쪽으로 이동 중'이라는 유통 주장의 오도된 근거로 지목함",https://emersoncollegepolling.com/new-hampshire-2026-sununu-leads-gop-nomination-ties-pappas-for-senate/,2026-09-22,high
dup,"기존 CSV에 있음(기관·수치 일치, 날짜 표기만 다름)",,NH,Saint Anselm College Survey Center,,none,,,2026-08-17,2026-08-17,Pappas,Sununu,48,41,7,일일 브리핑 09/20 추출(언급 3회)·지명 전 가상 대진(09/08 확정 전),https://thehill.com/homenews/campaign/5801430-pappas-neck-and-neck-sununu-in-new-hampshire-senate-race-poll/,2026-09-20;2026-09-21;2026-09-22,high
